Tên thư mục,Tên đề thi ,Loại câu hỏi,Điểm,Nội dung câu hỏi,A,B,C,D,Đáp Án,Độ Khó,Cố định đáp án,
Toán rời rạc 2 -> Chương 1 -> Các khái niệm cơ bản,Đề thi môn TRR2,Trắc nghiệm,2.5,"Trong đơn đồ thị vô hướng, tổng bậc của tất cả các đỉnh bằng:","Số lượng cạnh của đồ thị","Số lượng đỉnh của đồ thị","Hai lần số lượng cạnh của đồ thị","Hai lần số lượng đỉnh của đồ thị",C,Nhận biết,1,
Toán rời rạc 2 -> Chương 1 -> Các khái niệm cơ bản,Đề thi môn TRR2,Trắc nghiệm,2.5,"Đồ thị đầy đủ n đỉnh (Kn) có bao nhiêu cạnh?","n(n+1)/2","n(n-1)/2","n^2","2n",B,Nhận biết,1,
Toán rời rạc 2 -> Chương 1 -> Các khái niệm cơ bản,Đề thi môn TRR2,Trắc nghiệm,2.5,"Bậc của một đỉnh trong đồ thị vô hướng là gì?","Số lượng đỉnh kề với nó","Số lượng cạnh liên thuộc với đỉnh đó","Số lượng đường đi xuất phát từ đỉnh đó","Số lượng thành phần liên thông của đồ thị",B,Nhận biết,1,
Toán rời rạc 2 -> Chương 1 -> Các khái niệm cơ bản,Đề thi môn TRR2,Trắc nghiệm,2.5,"Trong đồ thị có hướng, tổng bán bậc ra của tất cả các đỉnh bằng:","Tổng bán bậc vào của tất cả các đỉnh","Số lượng đỉnh của đồ thị","Hai lần số lượng cung","Bằng không",A,Thông hiểu,1,
Toán rời rạc 2 -> Chương 2 -> Biểu diễn đồ thị,Đề thi môn TRR2,Trắc nghiệm,2.5,"Ma trận kề của một đơn đồ thị vô hướng luôn có tính chất nào sau đây?","Là ma trận tam giác trên","Là ma trận đối xứng qua đường chéo chính","Đường chéo chính luôn chứa các giá trị 1","Tổng các phần tử luôn là số lẻ",B,Nhận biết,1,
Toán rời rạc 2 -> Chương 2 -> Biểu diễn đồ thị,Đề thi môn TRR2,Trắc nghiệm,2.5,"Trong biểu diễn đồ thị bằng ma trận kề A, tổng các phần tử trên hàng i (đối với đồ thị vô hướng) thể hiện điều gì?","Số lượng đỉnh của đồ thị","Số lượng cạnh của đồ thị","Bậc của đỉnh i","Bậc của đồ thị",C,Thông hiểu,1,
Toán rời rạc 2 -> Chương 2 -> Biểu diễn đồ thị,Đề thi môn TRR2,Trắc nghiệm,2.5,"Phương pháp biểu diễn nào sau đây tiết kiệm không gian bộ nhớ nhất đối với đồ thị thưa (ít cạnh)?","Ma trận kề","Ma trận trọng số","Danh sách kề","Ma trận liên thuộc đỉnh-cạnh",C,Thông hiểu,1,
Toán rời rạc 2 -> Chương 2 -> Biểu diễn đồ thị,Đề thi môn TRR2,Trắc nghiệm,2.5,"Trong ma trận trọng số biểu diễn đồ thị, nếu không có cạnh nối giữa đỉnh i và đỉnh j (i khác j) thì giá trị a[i][j] thường được gán bằng bao nhiêu?","0","1","-1","Vô cùng (∞)",D,Nhận biết,1,
Toán rời rạc 2 -> Chương 3 -> Tìm kiếm trên đồ thị,Đề thi môn TRR2,Trắc nghiệm,2.5,"Thuật toán tìm kiếm theo chiều sâu (DFS) thường được cài đặt bằng cấu trúc dữ liệu nào?","Hàng đợi (Queue)","Ngăn xếp (Stack) hoặc đệ quy","Cây nhị phân (Binary Tree)","Danh sách liên kết (Linked List)",B,Nhận biết,1,
Toán rời rạc 2 -> Chương 3 -> Tìm kiếm trên đồ thị,Đề thi môn TRR2,Trắc nghiệm,2.5,"Thuật toán tìm kiếm theo chiều rộng (BFS) ưu tiên duyệt đồ thị theo:","Khám phá đến đỉnh sâu nhất có thể trước khi quay lui","Khám phá tất cả các đỉnh kề với đỉnh hiện tại trước khi đi tiếp","Duyệt theo thứ tự ngẫu nhiên của các cạnh","Duyệt từ các đỉnh có bậc nhỏ nhất",B,Thông hiểu,1,
